utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3816/3816-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 1046 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1411 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1385 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2129 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2204 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2211 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2223 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2225 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2716 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2720 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2723 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2780 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2912 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 25426 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 26471 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 37172: No priority spelling found for lang = no, using alt_name to get "[('no', 'Søndre Norem')]"
utility_to_osm - WARNING - ssr:stedsnr = 56919 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 62305: Adding multiple names to name tag, this is not OK! name = "Trelleborgtjørna;Trellbotjønn"
utility_to_osm - WARNING - ssr:stedsnr = 62305 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62309 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 62403 has multiple (3) positions, using the first one!
