utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3427/3427-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 10091 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10218 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10238 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10312 has multiple (27) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11009 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11101 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11103 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11106 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11130 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11081 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11228 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11177 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11191 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11807 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 12001 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 11991 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 12806 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 12777 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 12778 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 12793 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233144 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233349 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233417 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233853 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233871 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233975 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233994 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 234075 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 234479 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28279 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28411 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 236922 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 51503 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 51520 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 51969 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 52118 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 52609 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71003 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 71202 has multiple (2) positions, using the first one!
