utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4226/4226-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 61 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 66 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 67 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 364 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 417 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 464 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 500 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 660 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 748 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1290 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 36024 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 36209 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 239850. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 58827. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 60123 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61096 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61406 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61423 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61609 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61372 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61374 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61376 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61387 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61389 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61396 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 242418 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243052 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243058 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243060 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243079 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243337 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243341 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243347 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243350 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243356 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243363 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243366 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243374 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243377 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243379 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 243382 has multiple (3) positions, using the first one!
