utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3808/3808-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 2302 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2304 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2305 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2603 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2585 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3038 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3126 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3103: No priority spelling found for lang = no, using alt_name to get "[('no', 'Skitnebufjellet')]"
utility_to_osm - WARNING - ssr:stedsnr = 3069 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3071 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3073 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3423 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3407 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3368 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3388 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3683 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3694 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3815 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3703 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3708 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3746 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3752 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3789 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3979 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3883 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4407 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4426 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4608 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 24284 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 43577 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 44319. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 60908: No priority spelling found for lang = no, using alt_name to get "[('no', 'Omnflug naturreservat')]"
utility_to_osm - WARNING - ssr:stedsnr = 63101 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63406 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63901 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64107 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64129 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64135 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 64139 has multiple (2) positions, using the first one!
