utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/4224/4224-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 49 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 52 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 56 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 58 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 157 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 348 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 398 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 506 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 520 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 561 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 402 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 853 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 806 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 763 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 793 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 901 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1215 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1223 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1200 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1306 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1286 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1290 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1294 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1340 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1979 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 42510 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61030 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61225 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61229 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61231 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61232 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61123 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61128 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61177 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61179 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61306 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61273 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61275 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 61321 has multiple (3) positions, using the first one!
